Plate,Row,H,G,F,E,D,C,B,A
1,1,Reb. A08 - 1D1,Reb. A09 - 1A1,Reb. A09 - 1A2,Reb. A09 - 1A3,Reb. A09 - 1A4,Reb. A09 - 1A5,Reb. 601 - 4B7,Reb. 601 - 4C1
1,2,Reb. 601 - 4C3,Reb. 601 - 4A7,803B_M20 (post),803B_2B (post),803B_M30 (pre),803B_M28 (pre),803B_M19 (pre),803B_M29 (pre)
1,3,818B_M16 (post),803B_M10 (pre),803B_M5 (pre),818B_M2 (pre),818B_M1 (pre),818B_M9 (post),818B_M25 (pre),818B_M22 (pre)
1,4,818B_M6 (pre),A08 - M7 (pre),A08 - M11 (pre),A08 - M17 (post),A08 - M20 (post),A08 - M1 (pre),A08 - M2 (pre),A08 - M4 (pre)
1,5,A08 - M5 (pre),MM14.23-1A3,MM15.16-1B2,MM34.23-1B2,MM40.18-1C7,MM34.25-2B5,MM34.25-3A5,MM23.18-1A1
1,6,MM23.18-2A1,A08.21-2F4 (IMC),A09r-1A2 (IMC),601r1 (IMC),Reb. A08.21-5C2,Reb. A08.21-5D2,Reb. A08.21-6B3,Reb. A08.21-6D6
1,7,Reb. A08.21-7C2,Reb. A08.21-7C1,Reb. A08.21-7D3,Reb. A08.21-8A5,Reb. A08.21-8D1,A08 - 1E8 (pre),A08 - 1E2 (pre),A08 - 7F1 (pre)
1,8,A08 - 5E5 (pre),Reb. A08.21-8B5,Reb. A08.21-6B5,Reb. A08.21-6C1,Reb. A08.21-7A3,Reb. A08.21-8B3,Reb. A08.21-7B6,QVOA_A08 - UT - 1B5
1,9,QVOA_A08 - UT - 1C8,QVOA_A08 - UT - 1F8,QVOA_A08 - UT - 3B6,QVOA_A08 - UT - 3D8,QVOA_A08 - UT - 4A1,QVOA_A08 - UT - 4E4,QVOA_A08 - UT - 5C3,QVOA_A08 - UT - 6F6
1,10,QVOA_A08 - UT - 7C1,QVOA_A08 - UT - 7F8,QVOA_A08 - UT - 8E8,QVOA_A08 - UT - 5E4,QVOA_A08 - UT - 5E2,QVOA_A08 - UT - 6D3,QVOA_A08 - UT - 6E2,QVOA_A01-mono-3C4
1,11,QVOA_A08 - BE - 4C8,QVOA_A08 - BE - 4E6,QVOA_A08 - BE - 5D5,QVOA_A08 - BE - 5E1,QVOA_A08 - BE - 7F2,QVOA_A08 - BE - 7E2,QVOA_A08 - BE - 7C8,QVOA_A08 - BE - 7A8
1,12,QVOA_A08 - BE - 1D5,QVOA_A08 - BE - 1D6,QVOA_A08 - BE - 2A3,QVOA_A08 - BE - 2C5,QVOA_A08 - BE - 2D3,QVOA_A08 - BE - 3A4,QVOA_A08 - BE - 3B1,QVOA_A08 - BE - 3E8
2,1,A08 P1A3,A08 P1A5,Rebound 50 P2B2,9201 6A7,9201 6B8,S-22 24C4,9207 7D4,9203 7A8
2,2,9202 13F7,9201 13B8,9201 13B1,9201 6B2,9203 7C1,9203 7A1,9203 9E6,9203 9D3
2,3,601 4B4,601 4A8,BEAT-004 4D1,BEAT-004 4E6,BEAT-004 4E3,BEAT-004 4D4,S-22 1F5,S-22 1E2
2,4,S-23 24A5,S-23 3D1,S-22 3B6,S-22 3A6,S-07 2A,S-30 2D2,S-30 2D1,S-30 7D
2,5,BEAT-030 2E,BEAT-030 3E,PIP-008 2A,PIP-017 8B,PIP-017 8F,BEAT-030 7E,BEAT-030 8E,BEAT-030 4E
2,6,BEAT-030 5E,BEAT-044 8F,BEAT-044 7F,BEAT-044 5F,BEAT-044 6F,A09 IMC,SL92b IMC,MM33 TF IMC
2,7,MM33.17 IMC,MM33.13 IMC,RM KH83 P3F3,RM FR55 P1C7,RM KH83 P1D2,RM KH83 P3E2,RM FR55 P1C1,RM KH83 P1G7
2,8,RM FR55 P1D7,RM FR55 P1C11,SG3 IMC,YU2 IMC,89.6 (9/16/19) IMC,NL43 IMC,89.6 IMC,SG3+WEAU IMC
2,9,9203 W12 12J17,9203 D-14 H1,9203 D-14 K2,9203 D-14 P11,9207 W12 12AU7,9207 D-14 D2,NL43-GFP+VSVg IMC,SL92b (CD4 human) IMC
2,10,Media,Media,Media,9201 12F23,9201 12M6,9202 12Y10,9203 G12,9203 W12 12I10
2,11,QVOA_A08 - BE - 4C8,QVOA_A08 - BE - 4E6,QVOA_A08 - BE - 5D5,QVOA_A08 - BE - 5E1,QVOA_A08 - BE - 7F2,QVOA_A08 - BE - 7E2,QVOA_A08 - BE - 7C8,QVOA_A08 - BE - 7A8
2,12,QVOA_A08 - BE - 1D5,QVOA_A08 - BE - 1D6,QVOA_A08 - BE - 2A3,QVOA_A08 - BE - 2C5,QVOA_A08 - BE - 2D3,QVOA_A08 - BE - 3A4,QVOA_A08 - BE - 3B1,QVOA_A08 - BE - 3E8
