plate,row,virus
p1,A,SHIV.D.375M (human CD4 viral stock)
p1,B,RM10N011.d942.PBMC.B8
p1,C,RM10N011.d942.PBMC.B6
p1,D,RM6563.d1065.PBMC.E7
p1,E,RM6563.d112.PBMC.C7
p1,F,RM6563.d1456.PBMC.B7
p1,G,RM6563.d1456.PBMC.C7
p2,A,SHIV.D.375M (human CD4 viral stock)
p2,B,RM6563.d1456.PBMC.C3
p2,C,RM6728.d10/17/2016.PLAS.B5
p2,D,RM10N011.d56.PLAS.C7
p2,E,RM10N011.d56.PLAS.C3
p2,F,RM10N011.d942.PLAS.F4
p2,G,RM10N011.d942.PLAS.F7
p3,A,SHIV.D.375M (human CD4 viral stock)
p3,B,RM6563.d112.PBMC.B2
p3,C,RM10N011.d942.PLAS.1E5
p3,D,RM10N011.d942.PLAS.E5
p3,E,RMT919.d49.PBMC.C5
p3,F,RM6563.d1065.PBMC.D7
p3,G,RM6563.d1065.PBMC.F2
