,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,>100000.000,21238.728,37144.76,19031.471,13614.589,11553.25,2919.64,2981.544,1040.017,1013.111,351.933,244.685,93.167,62.539,<1.000,15.495,9.662,7.633,8.501,13.74,<1.000,5.9,<1.000,61.032
B,31817.559,17281.699,16806.714,33809.421,10716.252,10045.641,3146.12,3054.888,923.681,925.513,296.205,308.456,106.309,102.33,7.054,18.133,7.344,15.788,53.212,3.318,<1.000,40.344,<1.000,32.309
C,>100000.000,>100000.000,5915.193,5516.669,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,13433.603,9941.567,<1.000,46.618,>100000.000,>100000.000,>100000.000,>100000.000,11339.567,>100000.000,>100000.000,>100000.000
D,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,271.486,323.656,43.628,29.936,220.901,162.218,460.483,541.285,993.764,578.435,480.555,264.131
E,17570.479,12137.222,18767.107,19700.308,13450.113,12989.21,9485.739,8705.757,14336.175,12596.053,13586.436,17891.581,4450.715,4975.441,<1.000,<1.000,4090.686,2802.954,2994.859,6528.875,5393.133,5118.875,6528.875,2487.015
F,10200.637,15452.214,8806.876,10127.74,9813.345,11937.657,10176.814,12228.858,11455.841,20007.18,19055.43,>100000.000,967.834,1123.475,<1.000,34.686,>100000.000,>100000.000,>100000.000,23859.77,>100000.000,>100000.000,>100000.000,18652.555
G,16390.06,16119.706,475.194,444.486,10644.781,10820.238,11120.712,9933.377,10960.182,11726.639,1661.621,1620.133,1106.374,1111.309,<1.000,<1.000,7811.172,4962.772,4998.612,4653.006,6720.232,4552.743,5870.955,1328.756
H,13611.768,11077.786,1627.653,1307.436,10606.612,8191.336,10279.52,8971.465,10749.5,7866.83,1611.79,1530.284,<1.000,3.604,<1.000,<1.000,503.407,309.747,473.185,417.285,623.461,199.458,1727.641,1173.193
I,7752.491,9216.182,1615.96,1065.555,6711.315,5865.771,5849.385,6822.19,7645.917,6778.003,1740.428,1581.859,532.126,476.199,<1.000,<1.000,398.8,46.319,<1.000,<1.000,425.561,42.732,<1.000,<1.000
J,7665.475,6682.67,705.978,752.533,5887.398,5627.789,5469.543,4794.662,5940.491,5168.736,3778.709,3511.546,7.922,48.115,<1.000,5.325,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000
K,2422.988,2508.029,2534.038,2301.791,2259.466,2121.1,890.083,841.536,296.527,306.519,69.482,49.313,18.427,9.952,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000
L,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,>100000.000,5094.478,7063.62,1222.993,1439.473,304.583,450.145,93.472,94.387,19.014,13.74,<1.000,<1.000,<1.000,<1.000,<1.000,<1.000
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
