plate,measure,Row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
noSpin,OD,A,0.106,0.1,0.142,0.094,0.144,0.172,0.137,0.128,0.094,0.132,0.099,0.115
noSpin,OD,B,0.107,0.083,0.118,0.08,0.093,0.132,0.102,0.1,0.086,0.117,0.096,0.099
noSpin,OD,C,0.084,0.076,0.384,0.08,0.095,0.1,0.103,0.102,0.086,0.189,0.095,0.1
noSpin,OD,D,0.089,0.093,0.833,0.084,2.014,0.143,0.095,0.11,0.098,0.14,0.138,0.102
noSpin,OD,E,0.136,0.176,0.162,0.12,0.907,0.158,0.091,0.139,0.093,0.112,0.106,0.109
noSpin,OD,F,0.091,0.124,0.088,0.094,0.454,0.208,0.095,0.109,0.103,0.132,0.114,0.11
noSpin,OD,G,0.088,0.083,0.089,0.128,0.509,0.177,0.083,0.081,0.089,0.089,0.089,0.114
noSpin,OD,H,0.109,0.102,0.109,0.114,1.245,0.111,1.994,0.928,0.407,0.216,0.135,0.112
spin,OD,A,0.104,0.166,0.104,0.104,0.153,0.21,0.168,0.101,0.099,0.182,0.158,0.128
spin,OD,B,0.103,0.106,0.102,0.103,0.124,0.178,0.127,0.092,0.098,0.122,0.115,0.117
spin,OD,C,0.107,0.113,0.285,0.119,0.151,0.224,0.126,0.096,0.098,0.123,1.76,0.141
spin,OD,D,0.111,0.098,0.581,0.147,1.52,0.194,0.14,0.095,0.102,0.118,1.662,0.124
spin,OD,E,0.177,0.115,0.125,0.194,0.714,0.157,0.106,0.099,0.108,0.103,0.174,0.113
spin,OD,F,0.138,0.106,0.106,0.14,0.309,0.211,0.098,0.101,0.105,0.121,0.116,0.117
spin,OD,G,0.142,0.169,0.145,0.135,0.616,0.163,0.099,0.103,0.11,0.123,0.144,0.139
spin,OD,H,1.725,0.751,0.322,0.188,0.134,0.124,1.754,0.799,0.351,0.21,0.16,0.125
spin,Conc,A,<0.000,148.353,<0.000,<0.000,93.582,324.619,156.196,<0.000,<0.000,214.706,118.293,<0.000
spin,Conc,B,<0.000,<0.000,<0.000,<0.000,<0.000,199.808,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000
spin,Conc,C,<0.000,<0.000,613.329,<0.000,86.665,380.578,<0.000,<0.000,<0.000,<0.000,8156.027,41.967
spin,Conc,D,<0.000,<0.000,1758.97,70.464,6467.702,264.51,35.878,<0.000,<0.000,<0.000,7431.589,<0.000
spin,Conc,E,195.362,<0.000,<0.000,261.74,2303.261,112.374,<0.000,<0.000,<0.000,<0.000,181.977,<0.000
spin,Conc,F,26.785,<0.000,<0.000,38.231,705.256,330.862,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000
spin,Conc,G,46.591,160.721,58.42,13.253,1896.772,136.732,<0.000,<0.000,<0.000,<0.000,56.616,31.603
spin,Conc,H,7887.883,2460.429,754.979,239.502,9.005,<0.000,8112.497,2665.645,863.206,325.79,125.864,<0.000
